pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2003,1,22110,Leche pasteurizada,70813.3,Miles de litros,1.89,l,Litros
32,Argentina,2003,1,22110,Leche esterilizada,42397.93,Miles de litros,1.13,l,Litros
32,Argentina,2003,1,22110,Leche chocolatada,1911.22,Miles de litros,0.05,l,Litros
32,Argentina,2003,2,22110,Leche pasteurizada,69245.76,Miles de litros,1.84,l,Litros
32,Argentina,2003,2,22110,Leche esterilizada,25382.71,Miles de litros,0.68,l,Litros
32,Argentina,2003,2,22110,Leche chocolatada,1440.6,Miles de litros,0.04,l,Litros
32,Argentina,2003,3,22110,Leche pasteurizada,74279.42,Miles de litros,1.98,l,Litros
32,Argentina,2003,3,22110,Leche esterilizada,32674.1,Miles de litros,0.87,l,Litros
32,Argentina,2003,3,22110,Leche chocolatada,1599,Miles de litros,0.04,l,Litros
32,Argentina,2003,4,22110,Leche pasteurizada,77689.47,Miles de litros,2.06,l,Litros
32,Argentina,2003,4,22110,Leche esterilizada,29203.99,Miles de litros,0.78,l,Litros
32,Argentina,2003,4,22110,Leche chocolatada,1294.84,Miles de litros,0.03,l,Litros
32,Argentina,2003,5,22110,Leche pasteurizada,82550.42,Miles de litros,2.19,l,Litros
32,Argentina,2003,5,22110,Leche esterilizada,30920.78,Miles de litros,0.82,l,Litros
32,Argentina,2003,5,22110,Leche chocolatada,1256.44,Miles de litros,0.03,l,Litros
32,Argentina,2003,6,22110,Leche pasteurizada,77585.32,Miles de litros,2.06,l,Litros
32,Argentina,2003,6,22110,Leche esterilizada,44523.26,Miles de litros,1.18,l,Litros
32,Argentina,2003,6,22110,Leche chocolatada,389.16,Miles de litros,0.01,l,Litros
32,Argentina,2003,7,22110,Leche pasteurizada,83406.01,Miles de litros,2.21,l,Litros
32,Argentina,2003,7,22110,Leche esterilizada,21703.62,Miles de litros,0.58,l,Litros
32,Argentina,2003,7,22110,Leche chocolatada,684.36,Miles de litros,0.02,l,Litros
32,Argentina,2003,8,22110,Leche pasteurizada,88692.63,Miles de litros,2.35,l,Litros
32,Argentina,2003,8,22110,Leche esterilizada,7845.66,Miles de litros,0.21,l,Litros
32,Argentina,2003,8,22110,Leche chocolatada,670.74,Miles de litros,0.02,l,Litros
32,Argentina,2003,9,22110,Leche pasteurizada,85394.73,Miles de litros,2.26,l,Litros
32,Argentina,2003,9,22110,Leche esterilizada,56560.55,Miles de litros,1.5,l,Litros
32,Argentina,2003,9,22110,Leche chocolatada,1083.81,Miles de litros,0.03,l,Litros
32,Argentina,2003,10,22110,Leche pasteurizada,88445.29,Miles de litros,2.34,l,Litros
32,Argentina,2003,10,22110,Leche esterilizada,32612.16,Miles de litros,0.86,l,Litros
32,Argentina,2003,10,22110,Leche chocolatada,559.47,Miles de litros,0.01,l,Litros
32,Argentina,2003,11,22110,Leche pasteurizada,85007.16,Miles de litros,2.25,l,Litros
32,Argentina,2003,11,22110,Leche esterilizada,31342.52,Miles de litros,0.83,l,Litros
32,Argentina,2003,11,22110,Leche chocolatada,1585.98,Miles de litros,0.04,l,Litros
32,Argentina,2003,12,22110,Leche pasteurizada,89824.48,Miles de litros,2.37,l,Litros
32,Argentina,2003,12,22110,Leche esterilizada,62881.39,Miles de litros,1.66,l,Litros
32,Argentina,2003,12,22110,Leche chocolatada,2513.72,Miles de litros,0.07,l,Litros
32,Argentina,2004,1,22110,Leche pasteurizada,86957.26,Miles de litros,2.29,l,Litros
32,Argentina,2004,1,22110,Leche esterilizada,45505.3,Miles de litros,1.2,l,Litros
32,Argentina,2004,1,22110,Leche chocolatada,2288.88,Miles de litros,0.06,l,Litros
32,Argentina,2004,2,22110,Leche pasteurizada,84689.86,Miles de litros,2.23,l,Litros
32,Argentina,2004,2,22110,Leche esterilizada,31355.37,Miles de litros,0.83,l,Litros
32,Argentina,2004,2,22110,Leche chocolatada,1510.87,Miles de litros,0.04,l,Litros
32,Argentina,2004,3,22110,Leche pasteurizada,97815.58,Miles de litros,2.58,l,Litros
32,Argentina,2004,3,22110,Leche esterilizada,43356.22,Miles de litros,1.14,l,Litros
32,Argentina,2004,3,22110,Leche chocolatada,1826.6,Miles de litros,0.05,l,Litros
32,Argentina,2004,4,22110,Leche pasteurizada,91008.06,Miles de litros,2.4,l,Litros
32,Argentina,2004,4,22110,Leche esterilizada,43582.21,Miles de litros,1.15,l,Litros
