pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución_id,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2000,7,22222,Dulce de leche,9256.96,t,Toneladas,0.25,kg,Kilogramos
32,Argentina,2000,7,22120,Crema,2411.59,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,7,22222,Leche condensada,927.26,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2000,7,22241,Manteca,4353.08,t,Toneladas,0.12,kg,Kilogramos
32,Argentina,2000,7,22230,Yogur ,12743.17,t,Toneladas,0.34,kg,Kilogramos
32,Argentina,2000,7,22290,Postres lacteos y flanes,1919,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,8,22211,Leche en polvo entera ,2686.66,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2000,8,22212,Leche en polvo descremada,2268.46,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,8,22251,Quesos de baja humedad (pasta dura),4026.93,t,Toneladas,0.11,kg,Kilogramos
32,Argentina,2000,8,22251,Quesos de mediana humedad (pasta semidura),9886.87,t,Toneladas,0.27,kg,Kilogramos
32,Argentina,2000,8,22251,Quesos de alta humedad (pasta blanda),19337.01,t,Toneladas,0.52,kg,Kilogramos
32,Argentina,2000,8,22251,Queso fundido,1363.9,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2000,8,22222,Dulce de leche,9641.31,t,Toneladas,0.26,kg,Kilogramos
32,Argentina,2000,8,22120,Crema,2302.63,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,8,22222,Leche condensada,1025.84,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,8,22241,Manteca,4835.69,t,Toneladas,0.13,kg,Kilogramos
32,Argentina,2000,8,22230,Yogur ,17807.1,t,Toneladas,0.48,kg,Kilogramos
32,Argentina,2000,8,22290,Postres lacteos y flanes,2245,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,9,22211,Leche en polvo entera ,10712.74,t,Toneladas,0.29,kg,Kilogramos
32,Argentina,2000,9,22212,Leche en polvo descremada,95.89,t,Toneladas,0,kg,Kilogramos
32,Argentina,2000,9,22251,Quesos de baja humedad (pasta dura),4866.03,t,Toneladas,0.13,kg,Kilogramos
32,Argentina,2000,9,22251,Quesos de mediana humedad (pasta semidura),8462.24,t,Toneladas,0.23,kg,Kilogramos
32,Argentina,2000,9,22251,Quesos de alta humedad (pasta blanda),20758.77,t,Toneladas,0.56,kg,Kilogramos
32,Argentina,2000,9,22251,Queso fundido,474.18,t,Toneladas,0.01,kg,Kilogramos
32,Argentina,2000,9,22222,Dulce de leche,9223,t,Toneladas,0.25,kg,Kilogramos
32,Argentina,2000,9,22120,Crema,2860.87,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2000,9,22222,Leche condensada,988.16,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,9,22241,Manteca,3047.7,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2000,9,22230,Yogur ,17681.61,t,Toneladas,0.48,kg,Kilogramos
32,Argentina,2000,9,22290,Postres lacteos y flanes,1591,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2000,10,22211,Leche en polvo entera ,10783.29,t,Toneladas,0.29,kg,Kilogramos
32,Argentina,2000,10,22212,Leche en polvo descremada,4295.93,t,Toneladas,0.12,kg,Kilogramos
32,Argentina,2000,10,22251,Quesos de baja humedad (pasta dura),6838.71,t,Toneladas,0.19,kg,Kilogramos
32,Argentina,2000,10,22251,Quesos de mediana humedad (pasta semidura),11611.49,t,Toneladas,0.31,kg,Kilogramos
32,Argentina,2000,10,22251,Quesos de alta humedad (pasta blanda),22378.77,t,Toneladas,0.61,kg,Kilogramos
32,Argentina,2000,10,22251,Queso fundido,973.86,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,10,22222,Dulce de leche,7219.05,t,Toneladas,0.2,kg,Kilogramos
32,Argentina,2000,10,22120,Crema,3091.77,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2000,10,22222,Leche condensada,1074.49,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,10,22241,Manteca,4571.43,t,Toneladas,0.12,kg,Kilogramos
32,Argentina,2000,10,22230,Yogur ,24637.81,t,Toneladas,0.67,kg,Kilogramos
32,Argentina,2000,10,22290,Postres lacteos y flanes,1845,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2000,11,22211,Leche en polvo entera ,10616.9,t,Toneladas,0.29,kg,Kilogramos
32,Argentina,2000,11,22212,Leche en polvo descremada,2214.11,t,Toneladas,0.06,kg,Kilogramos
32,Argentina,2000,11,22251,Quesos de baja humedad (pasta dura),3628.09,t,Toneladas,0.1,kg,Kilogramos
32,Argentina,2000,11,22251,Quesos de mediana humedad (pasta semidura),10950.99,t,Toneladas,0.3,kg,Kilogramos
32,Argentina,2000,11,22251,Quesos de alta humedad (pasta blanda),20055.37,t,Toneladas,0.54,kg,Kilogramos
32,Argentina,2000,11,22251,Queso fundido,1067.35,t,Toneladas,0.03,kg,Kilogramos
32,Argentina,2000,11,22222,Dulce de leche,8319.61,t,Toneladas,0.23,kg,Kilogramos
32,Argentina,2000,11,22120,Crema,2548.14,t,Toneladas,0.07,kg,Kilogramos
32,Argentina,2000,11,22222,Leche condensada,971.38,t,Toneladas,0.03,kg,Kilogramos
